         2641864 function calls (2203232 primitive calls) in 40.598 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    6.291    1.573   23.501    5.875 model.py:180(train_epochs_bptt)
252204/38244    0.592    0.000   17.748    0.000 module.py:1507(_wrapped_call_impl)
252204/38244    0.971    0.000   17.636    0.000 module.py:1513(_call_impl)
    33500    1.029    0.000   13.390    0.000 container.py:215(forward)
     4596    0.053    0.000   12.603    0.003 _contextlib.py:112(decorate_context)
     4468    0.577    0.000   12.397    0.003 model.py:146(select_action)
     4468    1.127    0.000    8.535    0.002 model.py:72(get_action)
   100500    0.565    0.000    6.984    0.000 linear.py:115(forward)
     3104    0.316    0.000    6.586    0.002 model.py:60(forward)
   100500    6.233    0.000    6.233    0.000 {built-in method torch._C._nn.linear}
     2560    0.567    0.000    4.355    0.002 model.py:85(get_value)
     4096    0.793    0.000    3.437    0.001 model.py:160(record_obs)
    87264    0.141    0.000    3.425    0.000 activation.py:606(forward)
       64    0.001    0.000    3.382    0.053 _tensor.py:463(backward)
       64    0.001    0.000    3.381    0.053 __init__.py:164(backward)
       64    3.375    0.053    3.375    0.053 {method 'run_backward' of 'torch._C._EngineBase' objects}
    87264    0.178    0.000    3.284    0.000 functional.py:1578(selu)
    20264    0.312    0.000    3.260    0.000 rnn.py:1424(forward)
    87264    3.036    0.000    3.036    0.000 {built-in method torch.selu}
    20264    2.811    0.000    2.811    0.000 {built-in method torch.gru_cell}
     4628    1.525    0.000    1.525    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
     4096    1.439    0.000    1.439    0.000 model.py:112(append)
       16    1.176    0.073    1.339    0.084 model.py:546(calculate_advantages_returns)
    16544    1.245    0.000    1.245    0.000 {method 'to' of 'torch._C.TensorBase' objects}
     4468    0.026    0.000    0.862    0.000 time_aware_observation.py:57(step)
     4468    0.016    0.000    0.837    0.000 core.py:518(step)
     4468    0.017    0.000    0.695    0.000 time_limit.py:46(step)
     4468    0.010    0.000    0.678    0.000 order_enforcing.py:52(step)
     4468    0.020    0.000    0.668    0.000 env_checker.py:45(step)
     4517    0.395    0.000    0.654    0.000 lunar_lander.py:486(step)
     4096    0.653    0.000    0.653    0.000 {built-in method torch.max}
     8052    0.638    0.000    0.638    0.000 {method 'item' of 'torch._C.TensorBase' objects}
   257024    0.566    0.000    0.566    0.000 {built-in method torch._C._get_tracing_state}
   384652    0.451    0.000    0.451    0.000 module.py:1675(__getattr__)
     7572    0.019    0.000    0.317    0.000 activation.py:1513(forward)
     7572    0.022    0.000    0.299    0.000 functional.py:1828(softmax)
     7328    0.293    0.000    0.293    0.000 {built-in method torch.stack}
     4816    0.026    0.000    0.279    0.000 _tensor.py:1012(__iter__)
     7572    0.270    0.000    0.270    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}
     4288    0.097    0.000    0.263    0.000 {built-in method builtins.any}
     4816    0.232    0.000    0.232    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
     4517    0.025    0.000    0.150    0.000 lunar_lander.py:537(<listcomp>)
     4517    0.018    0.000    0.127    0.000 time_aware_observation.py:46(observation)
